,식단이름,만개의레시피이름,재료,만드는순서,만드는이미지
466,통닭구이,에어프라이기로 맛있는 통닭구이 만들어 볼까요?^^,[재료] 닭(중간크기) 1마리 소주 2큰술 물 2큰술 우유 2큰술 카레가루 3큰술 다진마늘 1큰술 큐민 후추 바질 약간 로즈메리 2~3줄기 버터 약간 레몬 1/2조각 피망 파프리카 통마늘 버섯 먹을만큼,"['통닭1마리와 깨끗이 씻은 로즈메리,\n닭 재워둘 양념장 준비합니다.\n양념장은 소주,물,우유 동일하게 2큰술씩\n카레3큰술, 후추,바질,큐민 약간\n다진마늘 1큰술 넣어 잘 섞어 준비합니다.\n로즈메리나 큐민이 없어도 무방합니다.^^', '깨끗이 씻은 닭은 고루 익히기 위해\n군데군데 칼집을 내어줍니다.', '칼집을 내어준 닭고기에\n양념장을 속가지 고루 발라줍니다.', '양념 바른 닭고기를 지퍼백에 넣고\n남은 양념장과 로즈메리 넣어\n잘 흔들어 줍니다.', '저녁에 만들어 냉장실에서\n담날 아침까지 숙성시켰어요.', '4등분한 레몬은 씨를 빼주고\n버터 작게 잘라 두조각을\n통닭 뱃속에 넣어줍니다.\n고열에 버터, 레몬즙이 흘러 내리기\n때문에 이 정도면 적당한듯해요.^^', '통닭과 함께 먹을 가니쉬입니다.\n냉장고에 있는 파프리카, 피망\n통마늘, 버섯 먹기좋게\n잘라 준비합니다.\n가니쉬는 양파등 좋아하는 야채\n구워도 됩니다.', '통닭을 끈으로 묶어 거치대에 꽂고 팬에\n가니쉬도 준비합니다.', '에어프라이기에\n가니쉬 팬을 아랫부분에 넣고\n통닭 거치대 걸어 통닭 설정해서\n구워주면 완성입니다.', '위의 온도 설정은 통삼겹 이랍니다.ㅎㅎ\n구입 담날이라 통삼겹을 통닭으로\n잘못인지해 벌어진 실수~ㅠㅠ\n그래서 20분 더 돌려줬어요.\n통닭 온도는 210에서 50분이더라구요.\n집에 있는 에어프라이기 210에서 50분\n설정하면 될것 같아요.\n노릇노릇 잘 구워 졌어요.\n속은 야들야들 ~겉은 쫄깃쫄깃~~\n정말 맛있답니다.^^']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/a2f174c1e97d701dc57cd1aa0cc54d291.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/b0dfd86d0e7ec3d6f98eb1121606acef1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/d97a5bd7beb905517c96b305163164481.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/ee8b61a2d13ccd881a0e0ca10cb234f21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/262dd1f1dae62812e230601f5a9112131.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/3e65f4b6ffb2e7f96f7ca988c90236391.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/6df4945af09b1d8100670c23bf46473f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/db9f99960e5305af11b368cb7f241c201.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/503096af4fd8e2df7df17370c25a90b11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/21/c026af6425a6b86795839216b5b57ddb1.jpg']"
467,소세지조림,구황작물 감자요리/소시지 감자조림,[재료] 감자 3개 비엔나소시지 8개 식용유 약간 참기름 1스푼 후추 깨소금 약간씩 [조림 양념] 간장 3스푼 물 2/3컵 다진마늘 0.5스푼 굴소스 0.5스푼 매실청 2스푼 올리고당 2스푼 맛술 1스푼,"['재료 준비해 주세요~', '비엔나소시지에 문어 모양으로 칼집내고\n눈과 입 부분까지 표시해 팔고 있어\n따로 칼집 낼 필요는 없더라구요~', '비엔나 소시지는 끓는 물 끼얹어\n샤워시켜 준 다음 준비해 주세요~\n기름기도 빼고 유해한 식품첨가물도 제거하고\n깔끔한 맛을 즐길 수 있답니다', '적힌 분량의 조림 양념 재료를 모두 넣고\n골고루 섞어 준비해 주세요~', '팬에 식용유 약간 두르고 한입크기로 썰은 감자 넣고\n감자가 투명한 색이 나도록 3분 정도 볶아 주세요~', '만든 조림 양념장 모두 넣고\n뚜껑 닫고 5분 정도 끓여 주세요~', '뚜껑 열고 중약불에서 5분 정도 더 조려 주세요~', '양념국물이 거의 다 졸아 들었을때\n비엔나 소시지 넣고 3분 정도 볶아 조려 주세요~', '불 끄고 후추 톡톡하고 참기름과 깨소금 약간 넣어\n골고루 섞어 마무리하면 비엔나소시지 감자조림 완성!', '비엔나 소시지가 꽃처럼 활짝 피어\n비주얼이 예뻐 보면서 먹는 즐거움도 있더라구요ㅎㅎ']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/b9e3183ad3e4148a865343f0aaaaa7f41.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/4d46d66d88a668ce434d80ac64abbaea1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/bc03cab7ca26b87b6e46f56e4fd4930d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/eda570129f4353aa63b5147089c7a3811.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/5ce22606b72c6a74bfd79699ba95af0e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/8c48a6f3f1380886b6502d6eda025c721.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/e0ae337af060fd54521e6d23c11996971.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/df9436c3d11ae28042a2a08c71d64b9e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/9ac6921da5093ca2fb90dbc114ced86b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/23/56b08683f50c2c75802cc8759a0065191.jpg']"
468,갓김치,톡 쏘는 새콤한 갓김치 맛있게 담그기,[재료] 감자 3개 비엔나소시지 8개 식용유 약간 참기름 1스푼 후추 깨소금 약간씩 [조림 양념] 간장 3스푼 물 2/3컵 다진마늘 0.5스푼 굴소스 0.5스푼 매실청 2스푼 올리고당 2스푼 맛술 1스푼,"['냄비에 육수 재료들을 다 넣고 뚜껑을 덮어 중불에서 30분 끓여주세요.\n양이 많이 나오는데. 여기서 600ml만 사용한답니다. 남은 건 국물요리 끓일 때 사용하셔도 ok.', '깨끗하게 씻어놓은 갓에 소금물(천일염 175g + 물 2L)을 붓고 3시간 절여주면 된답니다. (1시간에 한 번씩 뒤적뒤적!)\n줄기 쪽에 소금물을 많이 뿌려주세요~ 잎은 설렁설렁하셔도 ok.', '3시간 후에. 갓의 줄기 부분을 주물러줘야, 식감이 연해지답니다.', '찬물에 깨끗하게 씻어준 다음, 체에 밭쳐 2시간 물기를 완전히 빼주면 된답니다.', '냄비에 찹쌀풀 재료들을 넣고 중불에서 부글부글 끓어오를 때까지 끓여주면 된답니다. 그리고 차갑게 식혀주세요~', '차갑게 식혀놓은 찹쌀풀에 고춧가루를 넣고 잘 섞어주세요. (섞을 때는 한쪽 방향으로만)', '여기에 갈아놓은 멸치진젓, 액젓, 새우젓을 넣고 잘 섞어준 다음,', '양파청, 배즙, 사과즙, 다진 마늘&생강을 넣고 한 번 더 잘 섞어주면 양념 완성.', '물기를 완전히 뺀 갓에 양념을 골고루 잘 버무려주세요. (특히 줄기 부분에 집중해서! 잎은 훑기만 하셔도 ok.)', '마무리로 고추씨, 통깨를 넣고 휘리릭 섞어주면 갓김치 완성.', '실온에서 3일 정도 숙성시켜준 다음, 냉장고에 넣어 7일 더 숙성시면 맛있게 즐길 수 있답니다.\n가을 날씨 기준입니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/7b7c827fe9bc7ae2897247fcaa4b2e8e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/a4cabd9b35ac5dc1c1932738f3ef97c01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/b675b19b6353fac88059c64e99791ba61.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/b2045abf1e595ed1fc9b1aec10f25fb51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/9579b11752810dfbe17df6dc74a2bfa51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/462439fe39a7cf3c008a6e3cf054fba21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/c51419cdc8e53fa292443de2e22750931.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/bbc26445ae30e57c2ba11bd90c886f501.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/6cb575a56f6ed7ceb8f79bb21378ed311.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/946cc072be266f88575c4ba92f2aa5e01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/11/04/3813ee161164f589866d881dcbcdcfcd1.jpg']"
469,쑥갓나물,쑥갓나물 참기름으로 무쳐 더 맛있다,[재료] 쑥갓 1줌 천일염 1T [재료] 액젓 1T 깨소금 1T 참기름 1T,"['물이 팔팔 끓으면 천일염 1T을 넣고 줄기부터 넣어서\n살짝 데친 다음 찬물에 헹구어 줍니다~!~~\n\n액젓 대신 소금으로 간을 해주어도 됩니다\n식성에 따라 가감하세요~!~', '쑥갓의 물기를 짜준 다음 액젓인 소금으로 간을 해주고 무쳐줍니다\n깨소금을 넣고 휘리릭 무치면서 마지막에 참기름을 넣어주면 완성입니다', '향긋한 쑥갓향과 고소한 참기름 향이 어우러진 맛있는 쑥갓나물입니다~!~~', '쑥갓향이 가득한 쑥갓나물\n간단하게 무쳤지만 맛만큼은 상큼하고 맛있어요']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/05/23/4834446d7af673d9ca9a34dafd7513bf1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/23/fae025437ac3ca9f6c966a6ffeb632d51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/23/ae471b55033c227a029de426ed084ba61.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/23/4556435c1803c43f9ca166cab5776f1c1.jpg']"
470,붕어조림,여시네 밥도둑 비빌병기..굴비장,[재료] 참굴비 14마리 [저림장] 맛간장 500ml 물 120ml 굵은소금 1/2T 통후추 20알 다진마늘 and 천연가루 1T,"['우선 머리 꼬리 떼고 내장까지 재거한 참굴비를\n저는 다듬을때는 15~18샌치 정도 되는걸 40마리 정도 다듬었는데..그정 6마린 구워 어제 저녁 반찬으로 먹고 20마린 5마리씩 이중포장해 냉동실에 넣고 어찌 하다보니 14마리를 하게되었네요^^\n건조기에 10시간을 말렸어요^^\n원레 재대로 하자면 통풍 잘되는그늘에서 한달을 말리고 또 통풍 잘되는 양지에서 한달을 말리고 이렇게 총 도달을 말려 야하는데 제가 준비한 참 굴비는 원체 작은데다 아파트에서는 그렇게 하기가 쉽지가 않아서 저는 건조기를 이용해요^^', '열시간 혼풍으로 말리고 다시 통풍 잘되는 상온에서 5시간정도를 말렸던이 꼬독고독 아주 잘~ 말랐네요^^', 'http://www.10000recipe.com/recipe/6847831\n이 맛간장 500ml에 물 120ml를 넣고 중불에서 끓여주세요^^', '간장이 끓으는동안 다진마늘 1T로 티백을 만들어 바닥에 갈아주시고 참굴비를 몸통이 아래로가게 차곡차곡 넣어주세요^^...거기에 천연가루 1T로 다시 티백을 만들어 사이에 넣어주시고 굵은소금 1/2T 통후추 20알을 넣어 주세요^^\n이렇게 하는동안 양이 얼마 안되는 조림장이 끓기시작하네요^^.....여시표 맛간장을 한번 끓였던 간장이라 그리 팔팔 끓이지 않아도 되요^^\n사진은 끓여지는 정도를 찍었었는데 너무 흔들렸더라구요^^....어느정도냐면 냄비젹에서 뽀글뽁글 기포가 마구 생기면 불을 거주시면되요^^', '그리고 끓은 간장을 식히지 않고 바로 굴비에 부어주면\n끝이예요^^\n저는 김치냉장고에서 한달을 익히고 아 김치냉장고가 없으시면 냉장고 제일 안쪽 냉기 많이 나오는 데다 두셔두 되요^^\n한달후에 간장물을 한번 더 끓여 부어요^^\n그리고 일주일 후면 먹을수 있네요^^\n요 방법을 저의 외가쪽 그 방대한 방법을 제가 대가족 기준이 아닌 소가족 기준으로 아파트에서도 손쉽게 먹을수 있게 방법을 축소한거지만요^^\n맛은 원레 재래방식데로 한거보다는 쬐끔 덜어지지만 정말 맛있어요^^......젓깔 좋아하시는분들은 한번 해드셔보세요^^.....그런데요^^\n요 어장은 푸른생선보다는 흰살생선을 저는 강추해요^^']","['http://recipe1.ezmember.co.kr/cache/recipe/2016/06/16/35629e6438a488ecf8dd4c337616d4411.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/06/16/62a3bf92228aa83f1e4dd853c348a5c11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/06/16/650ad506cef690a888051b9ab5e827871.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/06/16/d4fd978c9bf3a4a502a03a0ea34378891.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/06/16/564b49b2e77660795c4ff0d381ee80191.jpg']"
471,닭고기조림,닭고기조림 - 무를 넣어 함께 조린 닭요리,[재료] 닭볶음용 1팩 무 양파 작은사이즈 1개 청양고추 2 파프리카 다시마 [양념] 다진마늘 3 대파 설탕 1 맛술 4 간장 10 올리고당 4 참기름 2 후추가루,"['닭볶음탕 1팩을 물에 씻고 기름을 떼어내고 찬물로 여러번 씻어 줍니다. 그리고 손질된 닭을 넣고 3~4분정도 데쳐줍니다. 닭을 데칠때 청주 3 숟가락 정도 넣어주세요', '데친 닭은 찬물에 헹궈 주세요.', '무,양파,당근,청양고추,파프리카를 썰어 줍니다.', '양념장을 만들어 줍니다. 다진마늘3,대파,설탕1,맛술4,간장10,올리고당4,참기름2,후추가루', '냄비에 물 3컵 정도 담고 무와 다시마를 넣고 끓여줍니다', '3분정도 끓이다 데쳐놓은 닭을 넣고 양념장을 반쯤 넣어 끓여 줍니다. 처음엔 강불로~', '팔팔 끓어 오르면 중불로 불 조절해주세요.', '계속 조리듯 계속 끓여 줍니다. 30분쯤 끓이다 양파,청양고추,파프리카를 넣고 남아 있던 양념을 모두 넣어 줍니다. 이때 다시마를 건져 냅니다.', '30분간 중불에서 또 조려줍니다. 눌러 붙지 않게 중간 중간 국물양을 체크합니다.', '국물이 자작자작 해지면 불을 끄고 통깨를 뿌려줍니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/22aac913017853fd8789b716962207271.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/aaeb86c610a58518199fefd0d3b02c481.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/1c45a7f3c1908277c4e020f9e12b7b2a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/be57b475a63635c50444ce5283bc38de1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/2b2907dea7649e45d4a9d6b361a614581.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/e01120b37c7536cd74e549d53027a46c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/7ee350f95159221d34f82982f4f46a4a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/fad06dc79829f6a3634530d4bec067ba1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/34d105c998b2af45f1c837dfe5069b411.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/07/25/89a0bad131c4670df9e357c050bd0e361.jpg']"
472,깻잎 완자전,추석 명절 상차림 요리 2. 동그랑땡 만드는 법 / 돼지고기 완자전,[재료] 간돼지고기 두부 쪽파 당근 부추 양파 소금 후추 부침가루 계란 [조리도구] PN뉴잔치팬,"['물기를 쭉 뺀 두부에 돼지고기 다짐육, 잘게 다진 채소류, 계란, 소금, 후추, 참기름을 넣어주세요.\n찬 성질의 돼지고기와 따뜻한 성질의 부추는 궁합이 잘 맞는 대표적인 음식이라고 해요! 동그랑땡 속재료로 참 좋겠죠?\n두부와 돼지고기의 비율은 취향에 따라 조절해주세요!\n두부가 많아지면 부드러운 식감의 동그랑땡이, 고기가 많으면 고소한 식감의 동그랑땡이 만들어진답니다', '최대한 물기를 쫙 빼고 계란으로 점성을 더한 반죽은 소금이나 후추가 뭉치지 않고 재료들이 잘 어우러지도록 열심히 치대주세요.', '반죽을 동글동글하게 만든 뒤, 부침가루를 묻혀주세요.\n동그랑땡 반죽은 수분이 있어 쟁반이나 반죽끼리 붙을 수 있으니 만든 즉시, 바로 바로 부침가루를 고르게 묻혀주세요!', '부침가루를 묻힌 동그랑땡에 계란옷을 입혀 PN 뉴 잔치팬에 부치면 완성이에요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/09/19/f1282716bc7dca0773a16f145292b1d21.gif', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/09/19/d28ba69ee57e99cc76792ab3c1c7116e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/09/19/1346db95f948bc07059dd2fe7bf636c91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/09/19/896402ba71cd3a2b52ae425a1e799d581.JPG']"
473,고구마조림,아이반찬 초간단레시피 고구마조림,[재료] 고구마 큰 것 2개 양파 1/2개 간장 3수저 올리고당 1수저 물 1/3컵 깨,"['고구마는 껍질 벗겨', '깍둑썰기해주세요.', '고구마를 5분 정도 물에 담가 전분기를 빼주고 찬물에 한 번 더 씻어 준비해주세요.', '고구마를 미니웍에 넣어주고~', '물 1/3컵과 간장을 넣어 끓여주세요.', '고구마가 살캉거리게 익었을 때 양파를 넣어주세요.', '5분 정도 더 졸여주세요~!', '고구마가 다 익으면 올리고당 1~2수저와 깨를 넣어 마무리!\n올리고당은 윤기를 더해주고 단맛을 가미시켜주는데 입맛에 따라 가감해주세요.', '초간단 밑반찬 고구마 조림 완성~!\n감자조림과 레시피가 거의 같아요.\n고구마를 조림으로 먹으면 달큰짭쪼름 아이들 밥반찬으로 좋아요.\n은근 매력적인 고구마조림']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/6095e401b75b2aa2dac53f11d0caf0e31.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/20dd5782dd0cbfd9a92a3028160da9bc1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/1db50a5e162fd45220a2e87bae301a2e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/227cf5f6ff2c2f35d55a37d9f62edc601.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/bef8b771389d7f6a97c94828b37b60061.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/69c3872d7c2a9a6d108148047cb710721.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/59c99d23f0bf55d6eb954edf931d36761.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/220c289c435d611e8f53c0e63609fd5a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/04/03/e23ac20dd66e731ab8f5c22ee1018e431.jpg']"
474,메기매운탕,미시시피강에서 낚시하기 ; 쉽게 끓이는 메기 매운탕,[재료] 매기(팔뚝크기) 3마리 양파 1개 대파 1뿌리 매운 고추 약간 [메기 소질 재료] 밀가루 소금 물 식초 [양념장 재료] 고추장 2큰술 고춧가루 4~5큰술 맛술 2큰술 다진마늘 1큰술 소금 약간,"['[메기 손질법]\n메기는 배를 갈라서 아가미와 내장을 제거합니다.\n수염과 지느러미를 잘라 물에 깨끗히 씻어줍니다.\n뼈에 붙은 피도 다 제거해 주세요.', '손질한 메기를\n밀가루에 버무려 씻어내고\n소금에 문질러 표면의 미끈거림을 제거합니다.\n물3컵:식초1컵 비율에 1시간 담궈\n비린내를 잡아줍니다.\n껍질을 벗겨내도 좋습니다.', '무를 넣고 끓는 물에 손질한 메기를 넣고', '양념장을 넣고 끓어오르면\n다진마늘 1큰술을 듬뿍~~ 떠서 넣어주고\n채썬양파,대파를 넣고 한소끔 끓여줍니다.\n[양념장]\n고추장 2큰술\n고춧가루 4~5큰술\n맛술 2큰술\n고추장을 많이 넣으면 국물이 텁텁해지니\n매운 맛은 고춧가루로 조절해 주세요.\n다진마늘 1큰술\n매운 고추 1개 (생략가능) 국물이 끓을 때 넣어줍니다.\n소금으로 간을 맞춰주세요.', '마지막으로 텃밭에서 뜯어 온 깻잎,쑥갓,미나리를 듬뿍~ 넣고\n불을 끕니다.\n역시! 매운탕 국물은 메기 매운탕이 진리인것 같아요^^', '얇게 수제비 떠서 넣어 먹는\n요맛도 매운탕의 매력이지요!!!']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/07/24/90ac5decf065985b63f47b60a27167121.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/24/111eccf4f2b0d5c9ab38c8561085cb8d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/24/7629b09f092cb05100d80575ae9ca2491.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/24/04a4d56bd4cc46858168eac03a459ed91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/24/05cd13ce69ceaf6d85bc2d5f83e5c7aa1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/24/6fd55657130c0242513d028a33304c251.jpg']"
475,삼겹살구이,된장소스 삼겹살구이,[재료] 돼지고기(목살 or 삼겹살) 200g 된장 1큰술 청주 고기가잠길정도로 물엿 1/2큰술 설탕 1/2큰술 참기름 1/2큰술 국간장 1/2큰술 물 1큰술 양배추 2장 대파 20cm 양파 1/2개 마늘 3~4개 참깨 약간,"['재료를 준비한다. 양배추는 한입크기로 잘게 찢어주고 대파와 양파는 채썰고 마늘은 슬라이스해준다.', '돼지고기를 미리 청주에 약 10분간 재워둔 뒤 양념을 전부 섞어준다.(설탕반큰술, 국간장반큰술, 물1큰술, 된장1큰술, 물엿반큰술, 참기름반큰술)\n시간이 없거나 사용하는 고기가 얇다면 청주는 3큰술정도만 사용하여 양념에 섞어버려도 좋다.', '재워두었던 고기에서 청주를 전부 따라낸 뒤 양념을 넣고 섞는다. 그 후 15분간 재운다.', '기름두른 팬에 양파와 양배추, 파, 마늘을 넣고 볶는다.', '마늘이 약간 익을 때 쯤 고기를 넣고 볶는다.\n고기를 넣을땐 중불로 굽는다.', '고기가 전부 익으면 접시에 던다.', '위에 깨를 약간 뿌려 마무리해준다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/03/23/ea310a579448db247b5b78b06b49ec211.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/23/9aa4afd1d050952b7ea9eae2358ce81c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/23/e5622119219a28245a527ae4301da5421.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/23/539e2aafd8b1b94a0960b888817205b51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/23/9435ccf19f7d9c1301d10c7fbde291cf1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/23/dcb784232a2859d435225ca09e9b680b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/03/23/890c01722d21dbd13a49410e1966339d1.jpg']"
476,오징어무침 어묵,"오뎅 어묵 무침, 오징어 무침, 맛있는 밑반찬",[재료] 어묵 4장 오징어 2마리 [양념장] 고추가루 4큰술 간장 1큰술 올리고당 1큰술 맛술 1큰술 까나리액젓 1큰술 다진마늘 1큰술 다진파 1큰술 설탕 1큰술 참기름 1큰술 [오징어절임물] 설탕 2큰술 식초 2큰술 소금 1작은술,"['분량의 양념장을 먼저 만들어 놓습니다.', '오징어는 껍질 벗겨 살짝 데친 후,', '먹기 좋은 크기로 칼을 어슷하게 뉘어 썰어 놓아요.', '오징어 절임물을 만들어 30분 이상을\n재워 놓습니다.', '오뎅은 끓는물에 살짝 데쳐 찬물에 헹군 다음,', '오징어와 비슷한 크기로 썰어줍니다.', '절인 오징어를 건지고 오뎅(어묵)과 함께 양념장을 넣고요,', '양념이 고루 잘 베이도록 싹싹 잘 버무리면 완성입니다.', '어묵도 부드럽고 오징어에는 감칠맛이\n한가득입니다. 이 맛, 아주~ 별미로 맛있어요 :)']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/7fb6148a135b149502a0e1658cfd00641.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/cc4738c96656f7fc0cdc1498715a132c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/d9e4a3bbc65c631c7eca325bbfde6b1e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/e4b227ddec862f5a87b44e11016b1f041.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/2d7b2079681dfa80f9b777745fbcb27a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/2591d17534df4f4715825a927d8858fd1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/2efc752df197581e89a5e33b70e7015c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/cea94556748d113e976e5c7570ec88c11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/02/5b7d558adcb1d93602a5e2296ccda15e1.jpg']"
